Product Name,Ingredients,Allergens,Serving Size,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Total Sugars,Added Sugars,Protein,Brand,Price,Total Mass,SerVings Per Container,Spesific,Ticket,Type,Drink Eat,Fresh
Publix Bakery Assorted Glazed And Chocolate Iced Donuts 6 Count,"Yeast Ring Donut (Enrichedflour, (Wheat Flour, Malted Barley Flour,Reduced Iron,Niacin,Thiamine Mononitrate,RiboflaVin, Folic Acid), Water, Palm Oil,Dextrose,Soy Oil,Yeast, Salt, Whey, Sugar,Mono-, Diglycerides,LeaVEning(Sodium Acidpyrophosphate,Baking Soda),Soy Flour,Wheatstarch,Sodium Stearoyl Lactylate,Natural ,Artificial FlaVor,Skim Milk,Distilled Monoglycerides,Calcium Propionate(To PreserVEfreshness),Gums(Cellulose,Guar,Xanthan),Ascorbic Acid,Beta Carotene(Color),Wheatprotein Isolate,Sodium Caseinate,Milk Protein Concentrate,Polysorbate60,Nonfat Milk,Calcium Stearoyl Lactylate,Egg Yolk,Datem,Eggs,Wheat Gluten,Calcium Sulfate,Ammoniumsulfate, Egg Whites),Donut Glaze(Powderedsugar(Sugar,Cornstarch),Water,Sugar,Maltodextrin,Stabilizer(Sugar,Artificial FlaVor,Agar,Cellulose Gum,Citric Acid,Mono-Diglycerides,Polysorbate 80),Potassium Sorbate(PreserVatiVE))","Wheat, Milk, Egg, , Soy",69,250,11,5,0,0,270,33,9,8,4,Publix Bakery,3.87,369,6,sweet,NO,"Vegetarian , Pescatarian",E,T
Publix Bakery Glazed Donut,"Yeast Ring Donut (Enrichedflour, (Wheat Flour, Malted Barley Flour,Reduced Iron,Niacin,Thiamine Mononitrate,RiboflaVin, Folic Acid), Water, Palm Oil,Dextrose,Soy Oil,Yeast, Salt, Whey, Sugar,Mono-, Diglycerides,LeaVEning(Sodium Acidpyrophosphate,Baking Soda),Soy Flour,Wheatstarch,Sodium Stearoyl Lactylate,Natural ,Artificial FlaVor,Skim Milk,Distilled Monoglycerides,Calcium Propionate(To PreserVEfreshness),Gums(Cellulose,Guar,Xanthan),Ascorbic Acid,Beta Carotene(Color),Wheatprotein Isolate,Sodium Caseinate,Milk Protein Concentrate,Polysorbate60,Nonfat Milk,Calcium Stearoyl Lactylate,Egg Yolk,Datem,Eggs,Wheat Gluten,Calcium Sulfate,Ammoniumsulfate, Egg Whites),Donut Glaze(Powderedsugar(Sugar,Cornstarch),Water,Sugar,Maltodextrin,Stabilizer(Sugar,Artificial FlaVor,Agar,Cellulose Gum,Citric Acid,Mono-Diglycerides,Polysorbate 80),Potassium Sorbate(PreserVatiVE))","Wheat, Milk, Egg, , Soy",69,250,11,5,0,0,270,33,9,8,4,Publix Bakery,1.09,69,1,sweet,NO,"Vegetarian , Pescatarian",E,T
Publix Bakery Assorted Donuts 4 Count,"Enriched Flour(Wheat Flour,Malted Barley Flour,Reduced Iron,Niacin,Thiamine Mononitrate,RiboflaVin,Folic Acid),Water,Sugarpalm Oil,Dextrose,Cornsyrup,Apples,Soy Oilmodified Food Starch,High Fructose Corn Syrup,Yeast,Cinnamon,Mono, Diglycerides,SaltleaVEning(Sodium Acid Pyrophosphate,Bakingsoda),Whey(Milk),Soy Flour, Pregelatinizedwheat Starch,Raspberries,Natural, Artificial FlaVor,Sodium Stearoyl Lactylate,Citricacid,Propylene Glycol,Beta Carotene(Color)Maltodextrin,Wheatprotein,Eggs,Polysorbate60, PreserVatiVEs(Potassium Sorbate,Sodiumbenzoate),Nonfat Milk,Datem,Cornstarch,Calcium Stearoyl 2-Lactylate,Wheat Gluten,Xanthan Gum,Calcium Sulfate,Ammonium Sulfate,Wheat Starch,Egg Yolks,Color(Titanium Dio-Xide,Caramel),Hydrogenated Cottonseed Oilcocoa Processed With Alkali,Calcium Propi-Onate(PreserVatiVE),Sodium Citrate,Gums(Agar,Guar,Gellan,Modified Acacia,Locustbean),Sorbic Acid(PreserVatiVE),Lacticacid,Phosphoric Acid,Glycerin,Malic Acid,Yellow 5,Red 40,Yellow 6,Blue 1,Sodiumsulfate,Soy Lecithin,Citric Acid Anhydrouscellulose Gum,Polysorbate 80,Canola Oil,Caramel,Rapeseed Lecithin,Pectin,Stearicacid,Sorbitan Monostearate,VEgetable Fiber"," Wheat,Egg,Soy,, Milk",69,250,11,5,0,0,270,33,9,8,4,Publix Bakery,4.31,238,4,sweet,NO,"Vegetarian , Pescatarian",E,T
"Krispy Kreme Doughnuts, Assorted","Original Glazed Doughnut Ingredients: Doughnut (Enriched Wheat Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Water, Palm Oil, Soybean Oil, Sugar, Contains 2%, or Less of Each of the Following: Yeast, Soy Lecithin, Hydrogenated Soybean Oil, Mono- and Diglycerides, Salt, Wheat Gluten, Monocalcium Phosphate, Dried Milk Powder, Cellulose Gum, Lecithin, Maltodextrin, Ascorbic Acid, Calcium Propionate (to Maintain Freshness), Sorbitan Monostearate, Tocopherols, Enzymes, Oat Fiber, Dried Egg Yolks), Glaze (Sugar, Water, Corn Starch, Palm Oil Agar, Natural and Artificial FlaVors, Guar Gum, Locust Bean Gum, Soybean Oil). Chocolate Iced Glazed Doughnut Ingredients: Doughnut (Enriched Wheat Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Water, Palm Oil, Soybean Oil, Sugar, Contains 2% or Less of Each of the Following: Yeast, Soy Lecithin, Hydrogenated Soybean Oil, Mono- and Diglycerides, Salt, Wheat Gluten, Monocalcium Phosphate, Dried Milk Powder, Cellulose Gum, Lecithin, Maltodextrin, Ascorbic Acid, Calcium Propionate (to Maintain Freshness), Sorbitan Monostearate, Tocopherols, Enzymes, Oat Fiber, Dried Egg Yolks), Icing (Sugar, Water, Corn Starch, Cocoa Powder [Processed with Alkali), Corn Syrup Solids, Soybean Oil and/or Palm Oil, Chocolate Liquor, Enzyme Modified Soy Protein, Polysorbate 60, Salt, Sodium Caseinate [Milk), Sodium Hexametaphosphate, Mono and Diglycerides, Soy Lecithin), Glaze (Sugar, Water, Corn Starch, Palm Oil, Agar, Natural and Artificial FlaVors, Guar Gum, Locust Bean Gum, Soybean Oil). Chocolate Iced Glazed Doughnut with Rainbow Sprinkles Ingredients: Doughnut (Enriched Wheat Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Water, Palm Oil, Soybean Oil, Sugar, Contains 2% or Less of Each of the Following: Yeast, Soy Lecithin, Hydrogenated Soybean Oil, Mono- and Diglycerides, Salt, Wheat Gluten, Monocalcium Phosphate, Dried Milk Powder, Cellulose Gum, Lecithin, Maltodextrin, Ascorbic Acid, Calcium Propionate [to Maintain Freshness), Sorbitan Monostearate, Tocopherols, Enzymes, Oat Fiber, Dried Egg Yolks), Icing (Sugar, Water, Corn Starch, Cocoa Powder (Processed with Alkali), Corn Syrup Solids, Soybean Oil and/or Palm Oil, Chocolate Liquor, Enzyme Modified Soy Protein, Polysorbate 60, Salt, Sodium Caseinate [Milk), Sodium Hexametaphosphate, Mono and Diglycerides, Soy Lecithin), Glaze (Sugar, Water, Corn Starch, Palm Oil, Agar, Natural and Artificial FlaVors, Guar Gum, Locust Bean Gum, Soybean Oil), Sprinkles (Sugar, Fractionated Palm Kernel Oil, Corn Starch, Glucose Syrup, Soy Lecithin, Red 40, Red 3, Yellow 6, Yellow 5, Blue 1, Gum Arabic, Carnauba Wax). Chocolate Iced with Kreme Filling Doughnut Ingredients: Doughnut (Enriched Wheat Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Water, Palm Oil, Soybean Oil, Sugar, Contains 2% or Less of Each of the Following: Yeast, Soy Lecithin, Hydrogenated Soybean Oil, Mono- and Diglycerides, Salt, Wheat Gluten, Monocalcium Phosphate, Dried Milk Powder, Cellulose Gum, Lecithin, Maltodextrin, Ascorbic Acid, Calcium Propionate [to Maintain Freshness), Sorbitan Monostearate, Tocopherols, Enzymes, Oat Fiber, Dried Egg Yolks), Filling (Sugar, Water, Palm Oil, Soybean Oil, Corn Syrup Solids, Corn Starch, Mono and Diglycerides, Polysorbate 60, Enzyme Modified Soy Protein, Sodium Hexametaphosphate, Soy Lecithin, Natural and Artificial FlaVors, Salt, Sodium Caseinate [Milk), Citric Acid, TBHQ), Icing (Sugar, Water, Corn Starch, Cocoa Powder [Processed with Alkali), Corn Syrup Solids, Soybean Oil and/or Palm Oil, Chocolate Liquor, Enzyme Modified Soy Protein, Polysorbate 60, Salt, Sodium Caseinate [Milk), Sodium Hexametaphosphate, Mono and Diglycerides, Soy Lecithin). Glazed Raspberry Filled Doughnut Ingredients: Doughnut (Enriched Wheat Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Water, Palm Oil, Soybean Oil, Sugar, Contains 2% or Less of Each of the Following: Yeast, Soy Lecithin, Hydrogenated Soybean Oil, Mono- and Diglycerides, Salt, Wheat Gluten, Monocalcium Phosphate, Dried Milk Powder, Cellulose Gum, Lecithin, Maltodextrin, Ascorbic Acid, Calcium Propionate [to Maintain Freshness), Sorbitan Monostearate, Tocopherols, Enzymes, Oat Fiber, Dried Egg Yolks), Filling (Water, High Fructose Corn Syrup, Sugar, Modified Food Starch, Raspberry Puree, Adipic Acid, Citric Acid, Sodium Citrate, Sodium Benzoate [to Maintain Freshness), Salt, Locust Bean Gum, Xanthan Gum, Artificial FlaVor, Potassium Sorbate [to Maintain Freshness), Red 40, Blue 1), Glaze (Sugar, Water, Corn Starch, Palm Oil, Agar, Natural and Artificial FlaVors, Guar Gum, Locust Bean Gum, Soybean Oil). Strawberry Iced Glazed Doughnut with Rainbow Sprinkles Ingredients: Doughnut (Enriched Wheat Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Water, Palm Oil Soybean Oil, Sugar, Contains 2% or Less of Each of the Following: Yeast, Soy Lecithin, Hydrogenated Soybean Oil Mono and Diglycerides, Salt, Wheat Gluten, Monocalcium Phosphate, BHT, Dried Milk Powder, Egg Yolks, Cellulose Gum, Calcium Propionate [to Maintain Freshness), Lecithin, Oat Fiber, Ascorbic Acid, Sorbitan Monostearate, Tocopherols); Icing (Sugar, Water, Corn Syrup, Palm Oil Soybean Oil Salt, Potassium Sorbate [to Maintain Freshness), Artificial Color, Soy Lecithin, Agar, Natural and Artificial FlaVor, Citric Acid, Red 40, Mono and Diglycerides, Locust Bean Gum); Glaze (Sugar, Water, Corn Starch and/or Palm Oil, Calcium Carbonate, Agar, Natural and Artificial FlaVors, Salt, Mono and Diglycerides, Sorbitan Monostearate); Sprinkles (Sugar, Fractionated Palm Kernel Oil, Corn Starch, Glucose, Soy Lecithin, Red 40, Red 3, Yellow 6, Yellow 5, Blue 1, Gum Arabic, Carnauba Wax), Does Not Contain Real Strawberries","wheat, soy, egg, milk.",50,190,11,5,0,0,85,22,10,0,3,Krispy Kreme,9.97,300,6,sweet,NO,"Vegetarian , Pescatarian",E,T
Entenmann's Cinnamon Swirl Buns,"Wheat Flour, Water, Sugar, VEgetable Oil (soybean And/or Palm), Dextrose, Eggs, VEgetable Shortening (palm Oil), Yeast, Whey, InVErt Sugar, Wheat Starch, Soy Flour, Mono- And Diglycerides, Modified Cornstarch, Cinnamon, Salt, Molasses, Natural , Artificial FlaVors, Oat Fiber, Tapioca Dextrin, Sodium Stearoyl Lactylate, Corn Flour, Cellulose Gum, Calcium Carbonate, Soy Lecithin, Maltodextrin, Potassium Sorbate (preserVatiVE), Spice , Coloring, Agar, Xanthan Gum, Artificial Color, Phosphoric Acid, Calcium Sulfate, Sorbitan Monostearate, Citric Acid, Vitamin A Palmitate, Beta Carotene (color)","wheat, soy, milk, egg.",68,330,15,6,0,15,230,44,21,0,5,Entenmann's,9.19,510,6,"sweet, cinnamon",NO,"Vegetarian , Pescatarian",E,F
"Tastykake Cinnamon Rolls, 6 Cinnamon Breakfast Sweet Rolls","Unbleached Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, RiboflaVin, Folic Acid), Sugar, Water, Whey (milk), VEgetable Oil (palm Oil And Soybean Oil), Yeast, Corn Syrup, High Fructose Corn Syrup, Nonfat Milk, Contains 2% Or Less Of Each Of The Following: Glycerine, Cinnamon, Salt, Dextrose, Yellow Corn Meal, Wheat Gluten, Calcium Carbonate, Molasses, Soy Flour, Monoglycerides, Modified Corn Starch, Agar, Bleached Wheat Flour, Corn Starch, Polysorbate 80, Sodium Stearoyl Lactylate, Xanthan Gum, Sodium Alginate, Wheat Starch, Natural And Artificial FlaVors, Calcium Sulfate, Sodium Phosphate, Enzymes, Soy Lecithin, Colored With ExtractiVEs Of Turmeric And Annatto Seed, Wheat Flour, Egg Yolks, Cinnamic Aldehyde, Eggs. Caramel Color, Cellulose Gum, Sodium Bicarbonate, Calcium Propionate And Potassium Sorbate (to Retard Spoilage)","wheat, soy, egg, milk.",68,220,5,2,0,5,140,41,18,0,4,Tasytkake,4.09,410,6,"sweet, cinnamon",NO,"Vegetarian , Pescatarian",E,F
Hostess TWINKIES Creamy Golden Sponge Cake IndiVidually Wrapped,"Sugar, Water, Enriched Flour (bleached Wheat Flour, Malted Barley Flour, Niacin, Ferrous Sulfate Or Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), High Fructose Corn Syrup, Tallow, Dextrose, Egg, Contains 2% Or Less: Soybean Oil, Corn Starch, Modified Cornstarch, Hydrogenated Tallow, Whey, Glycerin, Salt, Sodium Acid Pyrophosphate, Baking Soda, Enzymes, Sorbic Acid And Potassium Sorbate (to Retain Freshness), Cottonseed Oil, Mono And Diglycerides, Cellulose Gum, Sodium Stearoyl Lactylate, Soy Lecithin, Xanthan Gum, Polysorbate 60, Monocalcium Phosphate, Natural And Artificial Yellow 5, Red 40.","egg, milk, soy, wheat",77,280,9,4,0,35,370,47,32,0,2,Hostess,5.53,385,5,"sweet, creamy",NO,"Vegetarian , Pescatarian",E,F
"CakeBites Sweet, Lemon Layers, Limited Edition, 4 Packs","Enriched Wheat Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Sugar, Palm Oil, Eggs, InVErt Sugar, Palm Kernel Oil, Corn Syrup, Lemon Puree Concentrate (lemon Juice Concentrate, Lemon Juice, Sugar, Lemon Peel, Lemon Oil), High Fructose Corn Syrup, Nonfat Dry Milk , Whole Milk Solids, Glycerine, Modified Corn Starch, Vanilla, Salt, Whey, Soy Lecithin, Potassium Sorbate, Sorbic Acid, Turmeric, Annatto, Sodium Stearoyl Lactylate, Guar Gum, Xanthan Gum, Pectin, Sodium Citrate, Citric Acid, Sodium Benzoate, Natural , Artificial FlaVors, Titanium Dioxide","wheat, egg, soy , milk",57,90,13,8,0,25,65,32,21,0,2,CakeBites,4.99,227,4,"sweet, lemon",NO,"Vegetarian , Pescatarian",E,F
"CakeBites Party, Ultimate, 4 Packs","Enriched Wheat Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Sugar, Palm Oil, Eggs, InVErt Sugar, Palm Kernel Oil, Sorbitol, Whey, High Fructose Corn Syrup, Whole Milk Solids, Salt, Sodium Propionate, Titanium Dioxide, Nonfat Dry Milk Solids, Soy Lecithin, Pectin, Citric Acid, Corn Starch, Tapioca Starch, Dried Glucose Syrup, Glycerine, Potassium Benzoate, Gum Arabic, Carnauba Wax, Natural , Artificial FlaVors, Yellow 5, Yellow 6, Red 3, Red 40, Blue 1","wheat, egg, soy , milk.",57,90,13,8,0,25,95,32,20,0,2,CakeBites,4.99,227,4,"sweet, creamy",NO,"Vegetarian , Pescatarian",E,F
"CakeBites Coffee Cake, Frosted, 4 Packs","Enriched Wheat Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Sugar, Palm Oil, Eggs, InVErt Sugar, Palm Kernel Oil, Whey Powder (milk), Whole Milk Solids, Sorbitol, Titanium Dioxide, Nonfat Dry Milk Solids, Corn Syrup, Natural , Artificial FlaVors, Cinnamon, Pectin, Spices, Salt, Sodium Propionate, Locust Bean Gum, Soy Lecithin, Citric Acid, Potassium Sorbate, Tea Extract, VEgetable Juice (for Color)","wheat, egg, soy , milk.",57,260,14,8,0,25,95,30,21,0,2,CakeBites,4.99,227,4,"sweet, creamy",NO,"Vegetarian , Pescatarian",E,F
Hostess Chocolate Cupcakes Chocolate Cake Creamy Filling,"Sugar, Water, Enriched Flour (bleached Wheat Flour, Malted Barley Flour, Niacin, Ferrous Sulfate Or Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acidi, High Fructose Corn Syrup, Palm Oil, Corn Syrup, Cocoa, Soybean Oil, Tallow, Contains 2% Or Less: Glycerin, Cocoa Processed With Alkali, Modified Cornstarch, Baking Soda, Salt, Corn Starch, Dextrose, Whey, Hydrogenated Tallow, Inulin, Egg, Calcium Carbonate, Sorbic Acid And Potassium Sorbate (to Retain Freshness), Calcium Sulfate, Enzymes, Egg White, Mono And Diglycerides, Sodium Acid Pyrophosphate, Cottonseed Oil, Natural And Artificial FlaVor, Sodium Stearoyl Lactylate, Agar, Xanthan Gum, Soy Lecithin, Polysorbate 60, Cellulose Gum, Locust Bean Gum, Monocalcium Phosphate, Titanium Dioxide (color), Disodium Phosphate, Sunflower Oil, Chocolate Liquor, Defatted Soy Flour.","wheat, egg, milk and soy",45,170,6,2.5,0,5,240,29,19,0,1,Hostess,5.53,360,8,"sweet, chocolate, creamy",NO,"Vegetarian , Pescatarian",E,F
"Hershey's Milk Chocolate Candy, IndiVidually Wrapped, Gluten Free",Milk Chocolate [sugar; Milk; Chocolate; Cocoa Butter; Milk Fat; Lecithin (soy); Pgpr; Natural FlaVor).,"milk, soy",43,220,13,8,0,10,35,26,25,0,3,Hershey's,7.75,263,6,"sweet, chocolate",GF,"Vegetarian , Pescatarian",E,F
"Hershey's Milk Chocolate Candy, Gluten Free",Milk Chocolate [sugar; Milk; Chocolate; Cocoa Butter; Milk Fat; Lecithin (soy); Pgpr; Natural FlaVor).,"milk, soy",43,220,13,8,0,10,35,26,25,0,3,Hershey's,1.53,43,1,"sweet, chocolate",GF,"Vegetarian , Pescatarian",E,F
UNREAL Dark Chocolate Coconut Bars,"Organic Coconut, Organic CassaVa Syrup, Dark Chocolate (chocolate Liquorâ€¡, Cane Sugarâ€¡, Cocoa Butterâ€¡, Vanilla).",coconut,15,70,5,4.5,0,0,0,8,3,0,1,UNREAL,5.53,120,8,"sweet, chocolate, coconut","GF, MW","Vegan , Vegetarian , Pescatarian",E,F 
UNREAL Dark Chocolate Peanut Butter Cups,"Dark Chocolate (chocolate Liquor, Cane Sugar, Cocoa Butter, Organic Blue AgaVE Inulin, Sunflower Lecithin, Vanilla), Peanuts, Organic Cane Sugar, Organic Palm Oil.., Organic Peanut Flour, Organic Blue AgaVE Inulin, Sea Salt, Sunflower Lecithin.",peanuts,15,80,6,2.5,0,0,40,8,5,0,1,UNREAL,5.53,120,8,"sweet, chocolate, peanuts","GF, MW","Vegan , Vegetarian , Pescatarian",E,F 
UNREAL Dark Chocolate Caramel Peanut Nougat Bars,"Organic CassaVa Syrup, Dark Chocolate (cocoa Beansâ€¡, Cane Sugar, Cocoa Butterâ€¡, Sunflower Lecithin, Vanilla Beans), Organic Peanuts, Organic Cane Sugarâ€¡, Organic Palm Oil.., Almonds, Organic Pea Protein, Organic Powdered Sugarâ€¡, Less Than 0.5%: Cashews, Vanilla Extract, Sea Salt, Sunflower Lecithin, Organic Grass-fed Whey Protein, Organic Spelt Flour.","peanuts, almonds, cashews, milk and wheat",19,90,5,1.5,0,0,35,11,6,0,2,UNREAL,5.53,120,8,"sweet, chocolate, peanuts, caramel","GF, MW","Vegetarian , Pescatarian",E,F 
UNREAL Dark Chocolate Peanut Gems,"Dark Chocolate (chocolate Liquor, Cane Sugar, Cocoa Butter, Vanilla), Roasted Peanuts (peanuts, Peanut Oil), Organic Cane Sugar, Gum Acacia, Colored With (beet Juice, Spirulina Extract), Organic Tapioca Syrup, Carnauba Wax.",peanuts,30,150,10,4,0,0,0,16,13,0,3,UNREAL,5.53,120,8,"sweet, chocolate, peanuts","GF, MW","Vegan , Vegetarian , Pescatarian",E,F 
"Justin's Peanut Butter Cups, Organic, Dark Chocolate, Mini","Organic Dark Chocolate (organic EVaporated Cane Sugar, Organic Chocolate Liquor., Organic Cocoa Butter., Organic Soy Lecithin, Organic Vanilla), Organic Peanuts, Organic Powdered EVaporated Cane Sugar, Organic Peanut Flour, Organic Palm Fruit Oil.., Organic Vanilla FlaVor, Sea Salt, Organic Soy Lecithin.",peanuts and soy,40,210,14,7,0,0,120,21,17,0,4,Justins's,6.87,133,4,"Sweet, peanut","MW, Organic","Vegetarian , Pescatarian",E,F
Back to Nature Plant Based Snacks Classic Round Crackers,"Unbleached Wheat Flour, Safflower Oil, Cane Sugar, Brown Rice Syrup, LeaVEning (baking Soda, Monocalcium Phosphate Monohydrate, Ammonium Bicarbonate), Sea Salt, Soy Lecithin, Enzymes.","wheat, soy ",15,70,3,0,0,0,125,10,1,0,1,Back to Nature,4.75,240,16,salty,MW,"Vegan , Vegetarian , Pescatarian",E,F
"Ritz Original FlaVor Crackers, 1 Box","Unbleached Enriched Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate Vitamin B1), RiboflaVin (Vitamin B2), Folic Acid), Canola Oil, Palm Oil, Sugar, Salt, LeaVEning (calcium Phosphate, Baking Soda), High Fructose Corn Syrup, Soy Lecithin, Natural FlaVor.","wheat, soy",16,80,5,1,0,0,130,10,1,0,1,Nabisco,4.55,388,24,salty,MO,"Vegan , Vegetarian , Pescatarian",E,F
Back to Nature Plant Based Snacks Fudge Mint Cookies,"Fudge Coating (sugar, Palm Kernel Oil, Cocoa (processed With Alkali), Soy Lecithin, Natural FlaVor, Whole Milk Powder, Salt), Unbleached Wheat Flour, Cane Sugar, Palm Oil, Cocoa Powder (processed With Alkali), Baking Soda, Sea Salt, Soy Lecithin, Ammonium Bicarbonate, Peppermint Oil.","milk, soy, wheat",31,140,6,4.5,0,0,140,21,13,0,1,Back to Nature,4.75,181,6,"mint, chocolate",MW,"Vegetarian , Pescatarian",E,F
Pepperidge Farm Milano Mint Chocolate Cookies,"Made From: Enriched Wheat Flour (flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Sugar, VEgetable Oils (palm, Palm Kernel And/or Soybean And Hydrogenated Soybean), Semi Sweet Chocolate (sugar, Chocolate, Chocolate Processed With Alkali, Cocoa Butter, Milkfat, Soy Lecithin, Vanilla Extract), Eggs, Contains 2% Or Less Of: Cornstarch, Salt, Baking Soda, Soy Lecithin, Milkfat, Peppermint Oil, Natural FlaVor, Nonfat Milk.","wheat, milk, soy, eggs",25,130,7,4,0,5,35,16,9,0,1,Pepperidge Farm,5.41,198,8,"mint, chocolate",MO,"Vegetarian , Pescatarian",E,F
"Lenny , Larry's The Complete Cookie- Double Chocolate","Enriched Wheat Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Protein Blend (Vital Wheat Gluten, Pea Protein, Rice Protein), Chicory Root Fiber, InVErt Sugar, Semi-sweet Chocolate Chips (unsweetened Chocolate, Sugar, Cocoa Butter, Dextrose, Natural Vanilla Extract), Cane Sugar, Palm Fruit Oil, VEgetable Glycerine, Cocoa Processed With Alkali, Sunflower Lecithin, Molasses, Natural FlaVor, Baking Soda, Salt, Xanthan Gum, Guar Gum.",wheat.,57,210,7,3,0,0,220,27,12,0,8,"Lenny , Larry's",2.21,113,2,chocolate,MW,"Vegan , Vegetarian , Pescatarian",E,F
"Lenny , Larry's The Complete Cookie- Snickerdoodle","Enriched Wheat Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Protein Blend (Vital Wheat Gluten, Pea Protein, Rice Protein), Cane Sugar, Palm Fruit Oil, Chicory Root Fiber, InVErt Sugar, VEgetable Glycerine, Sunflower Lecithin, Molasses, Natural FlaVor, Baking Soda, Cinnamon, Salt, Xanthan Gum, Guar Gum", wheat.,57,230,8,3.5,0,0,250,29,14,0,8,"Lenny , Larry's",2.21,113,2,cinnamon,MW,"Vegan , Vegetarian , Pescatarian",E,F
"Lenny , Larry's The Complete Cookie- Choc-o-mint","Enriched Wheat Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Protein Blend (Vital Wheat Gluten, Pea Protein, Rice Protein), Chicory Root Fiber, Mint Drops (sugar, Palm Kernel And Palm Oil, Dextrose, Sunflower Lecithin [emulsifier), Spirulina [color), Natural FlaVor, Turmeric [color), Salt), InVErt Sugar, Cane Sugar, Palm Fruit Oil, VEgetable Glycerine, Cocoa Processed With Alkali, Natural FlaVor, Sunflower Lecithin, Molasses, Baking Soda, Salt, Xanthan Gum, Guar Gum",wheat,57,220,7,3.5,0,0,240,28,14,0,8,"Lenny , Larry's",2.21,113,2,"mint, chocolate",MW,"Vegan , Vegetarian , Pescatarian",E,F
"Lenny , Larry's The Complete Cookie- Peanut Butter","Enriched Wheat Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Chicory Root Fiber, Peanut Butter, Protein Blend (Vital Wheat Gluten, Pea Protein, Rice Protein), InVErt Sugar, VEgetable Glycerine, Cane Sugar, Peanuts, Palm Fruit Oil, Sunflower Lecithin, Natural FlaVors, Baking Soda, Salt, Xanthan Gum, Guar Gum","wheat, peanut and sesame seed.",57,210,6,1.5,0,0,200,28,9,0,8,"Lenny , Larry's",2.21,113,2,peanut,MW,"Vegan , Vegetarian , Pescatarian",E,F
"Sun Tropics CocoRolls, Original","Coconut Cream, Rice Flour, Coconut Sugar, Eggs, Sesame Seeds, Sea Salt.","Coconut, Eggs, Sesame.",28,130,5,4,0,5,80,20,8,0,2,Sun Tropics,3.87,113,4,coconut,"MW, GF","Vegetarian , Pescatarian",E,F
"Sun Tropics CocoRolls, Salted Caramel","Coconut Cream, Rice Flour, Coconut Sugar, Eggs, Caramel (Cane Sugar, Water, Natural FlaVor), Sea Salt.",Coconut and Eggs.,28,130,5,4.5,0,5,115,20,9,0,1,Sun Tropics,3.87,113,4,"coconut, caramel","MW, GF","Vegetarian , Pescatarian",E,F
Little Debbie Nutty Bars,"Dextrose, Enriched Flour (wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate [Vitamin B1), RiboflaVin [Vitamin B2), Folic Acid), Peanut Butter, Sugar, Palm And Soybean Oils With Tbhq And Citric Acid To Protect FlaVor, Palm And Palm Kernel Oil, Water. Contains 2% Or Less Of Each Of The Following: Soy Flour, Cocoa, Soybean Oil, Salt, Corn Starch, Mono- And Diglycerides, Soy Lecithin, Baking Soda, Citric Acid, Artificial FlaVor, Whey (milk), Egg Whites","wheat, peanuts, soy, milk, egg.",57,310,18,8,0,0,110,32,20,0,4,Little Debbie,2.57,340,6,chocolate,NO,"Vegetarian , Pescatarian",E,F 
