Product Name,Ingredients,Allergens,Serving Size,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Total Sugars,Added Sugars,Protein,Brand,Price,Total Mass,SerVings Per Container,Spesific,Ticket,Type,Drink Eat,Fresh
Chips Ahoy! Candy Blasts Chocolate Chip Cookies,"Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate (Vitamin B1), RiboflaVin (Vitamin B2), Folic Acid), Palm Oil, Sugar, Semisweet Chocolate Chips (Sugar, Chocolate, Cocoa Butter, Dextrose, Milk, Soy Lecithin), Candy Coated Morsels (Sugar, Hydrogenated Palm Kernel Oil, Cocoa, Cocoa (Processed With Alkali), Dextrose, Whey, Titanium Dioxide (For Color), Confectionerâ€™S Glaze (Carnauba Wax, Shellac, Beeswax), Yellow 5 Lake, Blue 1, Red 40 Lake, Soy Lecithin, Yellow 5, Red 3, Blue 1 Lake, Blue 2 Lake), High Fructose Corn Syrup, LeaVEning (Baking Soda, Ammonium Phosphate), Salt, Soy Lecithin, Caramel Color, Natural FlaVor, Artificial FlaVor.","Wheat, Milk, Soy",17,90,5,2.5,0,0,55,11,5,0,1,Chips Ahoy,4.25,351,21,sweet,NO,"Vegetarian , Pescatarian",E,F
"GreenWise Cookies, Organic, Chocolate Chip, Mini","Organic Wheat Flour, Organic Semi-Sweet Chocolate Chips [Organic Cane Sugar, Organic Unsweetened Chocolate, Organic Cocoa Butter, Organic Dextrose, Organic Soy Lecithin (An Emulsifier)), Organic Sugar, Organic Palm Oil, Organic Coconut, Organic Egg Whites, Sea Salt, Sodium Bicarbonate, Natural FlaVor, Organic Vanilla Extract, Organic Molasses.","Wheat, Egg, Coconut, And Soy",28,140,7,4.5,0,0,105,18,9,9,1,GreenWise,5.53,227,8,sweet,"Organic, GreenWise","Vegetarian , Pescatarian",E,F 
"Nutter Butter Bites Sandwich Cookies, Peanut Butter","Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate (Vitamin B1), RiboflaVin (Vitamin B2), Folic Acid), Sugar, Peanut Butter (Roasted Peanuts, Corn Syrup Solids, Hydrogenated VEgetable Oil (Rapeseed, Cottonseed, And Soybean Oils), Salt, Peanut Oil), High Fructose Corn Syrup, Canola Oil, Palm Oil, Whole Grain Wheat Flour, Salt, LeaVEning (Baking Soda, Calcium Phosphate), Soy Lecithin, Artificial FlaVor","Wheat, Peanut, Soy",30,140,6,1.5,0,0,115,21,9,9,2,Nabisco,1.65,85,3,sweet,NO,"Vegan , Vegetarian , Pescatarian",E,F
Sugar Cookies 2-Dozen,"Sugar,Bleached Wheat Flourwheat Flour,Water,Margarine(Palm Oil,Soybean Oil,Salt,Mono , Diglycerides,Annatto(Color)Calcium Disodium Edta(PreserVatiVE)Artificial Butter FlaVor,Vitamin A Palmi-Tate),Palm Oil,Cornstarch,Egg(Eggs,Sodiumsilicoaluminate),InVErt Sugar, Nonfatdry Milk, Baking Powder(Sodium Acid Pyro-Phoshphate, Sodium Bicarbonate,Cornstarchmonocalcium Phosphate),Oat Fiber,Saltbaking Soda,Butter Vanilla FlaVor(Dextrosecornstarch, Artificial FlaVors,Silicon Di-Oxide),Soy Lecithin.If Topped With Coarsesugar,Also Contains Carnauba Wax.If Toppedwith Sprinkles,Also Contains Rice Flourgum Arabic,Cellulose Gum,Dextrin,Confec-Tioner's Glaze,Carrageenan Gum,Maltodex-Trin,Blue 1 Lake,Cocoa Processed With Al-Kali,Carnauba Wax,Yellow 5 Lake,Red 40 La-Ke,Yellow 6 Lake,Red 3,Red 40,Blue 2,Blue2 Lake,Yellow 6,Yellow 5,Titanium Dioxidecolor,Blue 1,Natural , Artificial FlaVor.Citrus Fiber(Dried Orange Pulp)","Wheat,Egg,Milk,, Soy.",19,80,3,1,0,5,110,12,7,0,1,Publix Bakery,4.87,453,24,sweet,NO,"Vegetarian , Pescatarian",E,T
Chocolate Chip Cookies 13-Count,"Brown Sugar, Enriched Flour(Wheat Flour, Malted Barley Flour, Niacin,Reduced Iron, Thiamine Mononitrate, Ribo-FlaVin, Folic Acid), Enriched Unbleachedflour(Wheat Flour,Niacin,Reduced Iron,Thiamine Mononitrate, RiboflaVin, Folic Acid),Chocolate Chips(Sugar, Unsweetened Choco-Late, Cocoa Butter, Dextrose, Milkfat, Soylecithin(An Emulsifier)),Water, Shortening(Butter(Cream,Salt),Palm Oil, Soybean Oil,Water,Contain<2% Salt,Natural FlaVor(Milk)VEgetable Mono-, Diglycerides, Annattoextract(Color),Vitamin A Palmitate Added),Palm , Soybean Oils,Sugar, Eggs, Palm Oil,InVErt Sugar,Chocolate Chips(Sugar,Unsweetened Chocolate, Cocoa Butter, Milkfat,Nat-Ural Vanilla Extract), InVErt Syrup, Semi-Sweet Chocolate(Sugar, Chocolate Liquor,Cocoa Butter, Soy Lecithin(An Emulsifier),Natural FlaVor, May Contain Milk), Butter(Cream),Whole Milk Powder,LeaVEning(Sodiumacid Pyrophosphate,Baking Soda),Oat Fiber,Salt,Nonfat Dry Milk,Sugar Cane Fiber,Nat-Natural FlaVor,Sodium Acid Pyrophosphate,Sodium Bicarbonate","Wheat, Eggs, Milk, Soy",34,160,8,4,0,10,110,21,12,12,2,Publix Bakery,4.88,397,13,sweet,MW,"Vegetarian , Pescatarian",E,T
Oreo Chocolate Sandwich Cookies,"Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate (Vitamin B1), RiboflaVin (Vitamin B2), Folic Acid), Sugar, Palm And/Or Canola Oil, Cocoa (Processed With Alkali), High Fructose Corn Syrup, LeaVEning (Baking Soda And/Or Calcium Phosphate), Salt, Soy Lecithin, Chocolate, Artificial FlaVor.","Wheat, Soy",34,160,7,2,0,0,135,25,14,14,1,Nabisco,3.33,405,12,"sweet, cacao",NO,"Vegan , Vegetarian , Pescatarian",E,F
"Oreo Sandwich Cookies, Golden","Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate (Vitamin B1), RiboflaVin (Vitamin B2), Folic Acid), Sugar, Canola And/Or Palm Oil, High Fructose Corn Syrup, Salt, Baking Soda, Soy Lecithin, Artificial FlaVor, Natural FlaVor","Wheat, Soy",34,170,7,2,0,0,120,25,12,0,1,Nabisco,3.33,405,12,sweet ,NO,"Vegan , Vegetarian , Pescatarian",E,F
"Tastykake Frosted Mini Donuts, Shareable Frosted Donuts","Confectionery Coating (sugar, Hydrogenated Palm Kernel Oil, Cocoa Processed With Alkali, Cocoa Powder, Soy Lecithin, Salt, Artificial FlaVor), Enriched Bleached And Unbleached Flour (wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, RiboflaVin, Folic Acid), Palm Oil, Sugar, Water, Whey (milk), Nonfat Milk, Contains 2% Or Less Of Each Of The Following: Soybean Oil, Soy Flour, LeaVEning (sodium Bicarbonate, Sodium Acid Pyrophosphate, Sodium Aluminum Phosphate), Egg Yolks, Dextrose, Corn Syrup Solids, Salt, Soy Lecithin, Sodium Stearoyl Lactylate, Distilled Monoglycerides, Wheat Starch, Monocalcium Phosphate, Guar Gum, Wheat Gluten, Corn Dextrin, Tapioca Dextrin, Propylene Glycol Mono- And Diesters Of Fats And Fatty Acids, Mono- And Diglycerides, Modified Wheat Starch, Sodium Alginate, Karaya Gum, Natural And Artificial FlaVor, Enzymes, Xanthan Gum, Colored With Turmeric And Annatto, Ascorbic Acid, PreserVEd With Sorbic Acid, Potassium Sorbate And Sodium Propionate","Wheat, Eggs, Milk, Soy",63,300,17,11,0,0,220,34,18,0,3,Tasytkake,3.87,305,5,"sweet, cacao",NO,"Vegetarian , Pescatarian",E,F
Hostess Frosted Mini DONETTES Bag Chocolate Breakfast Treats,"Sugar, Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Ferrous Sulfate Or Reduced Iron, Thiamine Mononitrate, RiboflaVin, Folic Acid), Water, Palm Oil, Hydrogenated Palm Kernel Oil, Soybean Oil, Contains 2% Or Less: Cocoa Processed With Alkali, Glycerin, Nonfat Dry Milk, Defatted Soy Flour, Mono And Diglycerides, Sodium Acid Pyrophosphate, Baking Soda, Egg Yolk, Natural And Artificial FlaVor, Sodium Aluminum Phosphate, Salt, Soy Lecithin, PreserVatiVE (sorbic Acid, Sodium Propionate, Potassium Sorbate, Natamycin), Whey, Dextrose, Dextrin, Citric Acid, Enzymes, Guar Gum, Cellulose Gum, Annatto And Turmeric (color), Karaya Gum.","egg, milk, soy, wheat",57,280,17,12,0,10,200,32,18,0,2,Hostess,3.97,305,5,"sweet, cacao",NO,"Vegetarian , Pescatarian",E,F
Publix Bakery Glazed Donuts 6 Count,"Yeast Ring Donut (Enrichedflour, (Wheat Flour, Malted Barley Flour,Reduced Iron,Niacin,Thiamine Mononitrate,RiboflaVin, Folic Acid), Water, Palm Oil,Dextrose,Soy Oil,Yeast, Salt, Whey, Sugar,Mono-, Diglycerides,LeaVEning(Sodium Acidpyrophosphate,Baking Soda),Soy Flour,Wheatstarch,Sodium Stearoyl Lactylate,Natural ,Artificial FlaVor,Skim Milk,Distilled Monoglycerides,Calcium Propionate(To PreserVEfreshness),Gums(Cellulose,Guar,Xanthan),Ascorbic Acid,Beta Carotene(Color),Wheatprotein Isolate,Sodium Caseinate,Milk Protein Concentrate,Polysorbate60,Nonfat Milk,Calcium Stearoyl Lactylate,Egg Yolk,Datem,Eggs,Wheat Gluten,Calcium Sulfate,Ammoniumsulfate, Egg Whites),Donut Glaze(Powderedsugar(Sugar,Cornstarch),Water,Sugar,Maltodextrin,Stabilizer(Sugar,Artificial FlaVor,Agar,Cellulose Gum,Citric Acid,Mono-Diglycerides,Polysorbate 80),Potassium Sorbate(PreserVatiVE))","Wheat, Milk, Egg, , Soy",69,250,11,5,0,0,270,33,9,8,4,Publix Bakery,4.87,369,6,sweet,NO,"Vegetarian , Pescatarian",E,T
